po_id,store_id,item_id,order_date,qty_ordered,expected_arrival_date,actual_arrival_date,status,supplier_id
10001,1,1,2017-12-17,1000,2018-01-06,2018-01-09,Closed,1
10002,1,1,2017-12-03,500,2017-12-25,2017-12-27,Closed,4
10003,1,1,2017-11-19,100,2017-12-03,2017-12-03,Closed,4
10004,1,1,2017-11-05,1000,2017-11-22,2017-11-21,Closed,1
10005,1,1,2017-10-22,100,2017-11-12,2017-11-13,Closed,4
10006,1,1,2017-10-08,1000,2017-10-27,2017-10-31,Closed,4
10007,1,1,2017-12-22,200,2018-01-11,,Open,2
10008,2,1,2017-12-17,500,2018-01-08,2018-01-08,Closed,3
10009,2,1,2017-12-03,1000,2017-12-26,2017-12-25,Closed,2
10010,2,1,2017-11-19,200,2017-12-11,2017-12-09,Closed,1
10011,2,1,2017-11-05,500,2017-11-15,2017-11-13,Closed,4
10012,2,1,2017-10-22,200,2017-11-07,2017-11-06,Closed,4
10013,2,1,2017-10-08,1000,2017-10-29,2017-10-29,Closed,3
10014,2,1,2017-12-28,500,2018-01-19,,Open,1
10015,3,1,2017-12-17,100,2018-01-07,2018-01-07,Closed,4
10016,3,1,2017-12-03,1000,2017-12-25,2017-12-29,Closed,3
10017,3,1,2017-11-19,200,2017-12-06,2017-12-04,Closed,2
10018,3,1,2017-11-05,500,2017-11-17,2017-11-21,Closed,2
10019,3,1,2017-10-22,100,2017-11-12,2017-11-13,Closed,3
10020,3,1,2017-10-08,200,2017-10-24,2017-10-24,Closed,4
10021,4,1,2017-12-17,200,2017-12-28,2017-12-29,Closed,2
10022,4,1,2017-12-03,1000,2017-12-15,2017-12-16,Closed,2
10023,4,1,2017-11-19,100,2017-11-30,2017-11-29,Closed,1
10024,4,1,2017-11-05,100,2017-11-26,2017-11-29,Closed,2
10025,4,1,2017-10-22,100,2017-11-10,2017-11-11,Closed,1
10026,4,1,2017-10-08,100,2017-10-25,2017-10-29,Closed,3
10027,4,1,2017-12-28,200,2018-01-15,,Open,1
10028,5,1,2017-12-17,1000,2018-01-05,2018-01-09,Closed,2
10029,5,1,2017-12-03,1000,2017-12-16,2017-12-16,Closed,4
